flex,fsr1,fsr2,fsr3,pitch,roll,label
310,0.60,0.00,15.50,69.11,24.92,Sitting
302,0.50,0.00,15.41,69.11,24.89,Sitting
299,0.25,0.00,15.36,69.11,24.90,Sitting
296,0.22,0.00,15.29,69.11,24.86,Sitting
320,0.76,0.00,15.57,69.11,24.85,Sitting
316,0.50,0.00,15.48,69.08,24.83,Sitting
340,0.91,0.00,15.74,69.07,24.84,Sitting
329,0.46,0.00,15.62,69.08,24.82,Sitting
321,0.17,0.00,15.52,69.08,24.88,Sitting
318,0.00,0.00,15.44,69.08,24.86,Sitting
315,0.06,0.00,15.37,69.07,24.83,Sitting
311,0.00,0.00,15.31,69.05,24.83,Sitting
309,0.00,0.00,15.27,69.05,24.81,Sitting
331,0.00,0.00,15.58,69.05,24.82,Sitting
349,0.09,0.00,15.81,69.06,24.79,Sitting
340,0.00,0.00,15.71,69.03,24.77,Sitting
333,0.00,0.00,15.60,69.04,24.77,Sitting
326,0.00,0.00,15.48,69.04,24.82,Sitting
321,0.00,0.00,15.46,69.07,24.82,Sitting
341,0.00,0.00,15.77,69.08,24.81,Sitting
358,0.04,0.00,15.95,69.08,24.78,Sitting
344,0.00,0.00,15.70,69.07,24.75,Sitting
358,0.15,0.00,15.90,69.08,24.73,Sitting
328,0.00,0.00,15.47,69.08,24.70,Sitting
320,0.00,0.00,15.40,69.06,24.73,Sitting
313,0.00,0.00,15.38,69.05,24.76,Sitting
308,0.00,0.00,15.29,69.06,24.76,Sitting
306,0.00,0.00,15.16,69.08,24.75,Sitting
328,0.00,0.00,15.46,69.08,24.81,Sitting
343,0.25,0.00,15.69,69.07,24.75,Sitting
355,0.86,0.00,15.71,69.05,24.75,Sitting
340,0.41,0.00,15.46,69.04,24.76,Sitting
329,0.28,0.00,15.41,69.06,24.96,Sitting
321,0.22,0.00,15.29,69.04,24.96,Sitting
314,0.15,0.00,15.26,69.03,24.93,Sitting
333,0.88,0.00,15.53,69.05,24.92,Sitting
353,1.42,0.00,15.75,69.05,24.96,Sitting
362,1.35,0.00,15.73,69.05,24.96,Sitting
373,1.80,0.00,15.87,69.07,24.93,Sitting
351,1.52,0.00,15.65,69.08,24.91,Sitting
341,1.23,0.00,15.53,69.10,25.11,Sitting
328,1.07,0.00,15.37,69.08,25.08,Sitting
317,1.18,0.00,15.30,69.08,25.05,Sitting
333,1.73,0.00,15.54,69.07,25.01,Sitting
341,2.18,0.00,15.73,69.07,24.99,Sitting
346,2.54,0.00,15.87,69.08,25.03,Sitting
350,2.85,0.00,16.03,69.09,25.01,Sitting
317,2.35,0.00,15.70,69.10,24.98,Sitting
295,2.01,0.00,15.53,69.12,25.02,Sitting
282,1.69,0.00,15.44,69.10,24.98,Sitting
258,1.51,0.00,15.32,69.09,24.93,Sitting
235,1.37,0.00,15.25,69.09,24.89,Sitting
259,1.85,0.00,15.53,69.09,24.86,Sitting
